Package,LibPath,Version,Priority,Built
whisker,/Users/jenny/resources/R/library,0.3-2,NA,3.5.0
whoami,/Users/jenny/resources/R/library,1.2.0,NA,3.5.0
withr,/Users/jenny/resources/R/library,2.1.2,NA,3.5.0
xergm,/Users/jenny/resources/R/library,1.8.3,NA,3.5.0
xergm.common,/Users/jenny/resources/R/library,1.7.7,NA,3.5.0
xfun,/Users/jenny/resources/R/library,0.4,NA,3.5.0
xgboost,/Users/jenny/resources/R/library,0.81.0.1,NA,3.5.1
XML,/Users/jenny/resources/R/library,3.98-1.16,NA,3.5.0
xml2,/Users/jenny/resources/R/library,1.2.0,NA,3.5.0
xopen,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
xtable,/Users/jenny/resources/R/library,1.8-3,NA,3.5.0
xts,/Users/jenny/resources/R/library,0.11-2,NA,3.5.0
yaml,/Users/jenny/resources/R/library,2.2.0,NA,3.5.0
zeallot,/Users/jenny/resources/R/library,0.1.0,NA,3.5.0
zip,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
zoo,/Users/jenny/resources/R/library,1.8-4,NA,3.5.0
